Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2736,2695,41,1617,1119,1968,529,87,152,36,26,27,29,17,60,702,602,302,157,90,92,100,108,98,64,71,63,58,21,13,2061,675
13,Theater,2662,2632,30,1512,1150,1846,536,111,169,37,25,25,41,22,67,550,554,279,149,102,91,129,107,92,88,84,90,75,32,23,2090,572
14,Lindenplatz,4296,4241,55,2332,1964,3150,741,196,209,73,43,37,47,29,124,1072,918,431,187,112,154,176,156,128,111,97,121,130,90,60,3341,955
15,St. Jakob,6365,6300,65,3536,2829,4672,1209,150,334,123,80,82,110,68,193,1469,1389,702,388,268,242,253,250,217,153,123,110,83,46,16,5210,1155
16,Westpark,8228,8133,95,4527,3701,5467,2090,309,362,189,170,180,201,122,224,1566,1464,844,511,353,358,386,365,310,227,191,217,181,114,55,6721,1507
17,Hanbruch,3640,3618,22,1786,1854,1564,1499,292,285,93,95,149,214,124,88,212,210,197,189,201,256,279,309,236,200,142,164,153,90,39,3110,530
18,Hörn,5561,5480,81,2904,2657,3015,1967,319,260,129,128,183,188,107,191,897,665,330,267,214,252,340,321,260,243,196,252,211,123,64,4589,972
21,Ponttor,12036,11853,183,7245,4791,9226,2091,296,423,224,139,137,164,93,452,3534,2592,1178,622,362,377,431,341,319,281,253,227,196,74,40,8845,3191
22,Hansemannplatz,5295,5237,58,3049,2246,3536,1222,197,340,89,88,68,98,65,119,1053,964,485,312,234,232,262,252,229,191,155,180,135,52,32,3989,1306
23,Soers,2856,2830,26,1395,1461,1268,1247,167,174,96,87,110,123,69,65,166,234,178,193,166,175,192,190,151,169,139,153,127,46,27,2532,324
24,Jülicher Str.,7499,7445,54,4197,3302,4926,1768,300,505,184,169,200,248,144,237,1267,1144,722,466,376,404,408,345,278,252,190,173,154,81,57,5224,2275
25,Kalkofen,2710,2694,16,1371,1339,1378,974,150,208,75,85,120,163,125,86,209,236,203,172,185,165,176,156,115,137,103,81,71,36,11,1860,850
31,Kaiserplatz,8071,8005,66,4548,3523,5505,1730,259,577,158,111,116,147,81,213,1637,1502,859,526,353,367,373,350,289,285,199,201,173,77,54,6070,2001
32,Adalbertsteinweg,9967,9905,62,5657,4310,6535,2252,398,782,227,234,250,329,180,271,1745,1591,901,677,527,491,572,462,389,293,243,230,188,94,73,7040,2927
33,Panneschopp,8187,8141,46,4671,3516,4784,2304,404,695,234,209,254,345,202,261,1193,925,611,501,473,487,521,505,367,330,276,252,148,64,29,4722,3465
34,Rothe Erde,2524,2518,6,1350,1174,1251,859,152,262,61,81,93,97,62,62,172,234,181,174,146,190,188,165,143,132,108,109,66,41,19,1738,786
35,Trierer Str.,8043,8018,25,4116,3927,3915,2863,517,748,262,207,276,328,181,168,696,661,566,497,481,520,573,539,512,433,306,329,275,159,74,5930,2113
36,Frankenberg,8641,8567,74,4511,4130,5402,2406,233,600,295,171,179,265,157,174,1084,1241,985,667,490,500,586,501,383,279,221,212,146,76,29,7201,1440
37,Forst,13381,13336,45,6508,6873,5650,5868,885,978,390,482,580,719,443,320,817,796,770,810,804,865,957,996,845,754,560,687,480,206,100,10476,2905
41,Beverau,4172,4110,62,2044,2128,1676,1998,268,230,79,101,197,266,138,110,218,139,135,180,255,314,424,417,280,212,164,209,184,96,54,3945,227
42,Burtsch. Kurgarten,4991,4930,61,2672,2319,3154,1287,202,348,97,78,113,145,97,130,765,734,462,315,208,253,311,268,219,188,144,185,148,84,47,4193,798
43,Burtscheider Abtei,7463,7286,177,3839,3624,4215,2257,430,561,178,128,154,214,156,189,865,876,640,444,377,380,537,470,400,328,295,375,252,138,67,6389,1074
46,Steinebrück,7162,7059,103,3371,3791,2845,3225,574,518,180,165,201,332,223,164,421,315,330,331,295,460,611,592,472,448,417,475,355,226,149,6668,494
47,Marschiertor,6804,6741,63,3740,3064,4709,1410,267,418,141,75,91,115,84,189,1340,1372,806,377,260,267,323,317,268,194,153,147,152,81,52,5383,1421
48,Hangeweiher,11665,11548,117,5750,5915,5830,4115,844,876,342,276,349,499,303,286,1098,1031,741,578,538,629,847,766,622,583,499,652,506,284,236,9989,1676
51,Brand,17122,16995,127,8215,8907,6611,7988,1122,1401,470,487,621,838,522,406,903,881,887,946,956,1215,1504,1440,1187,991,848,934,681,262,143,15598,1524
52,Eilendorf,15644,15565,79,7708,7936,6262,7078,1025,1279,426,405,536,646,448,339,888,1019,984,978,847,1129,1393,1198,1045,914,728,765,579,258,119,13648,1996
